,name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level
251,WEBER,0.79,0.92,5,254,6,0,1,0,sales,low,1
253,SIMS,0.87,0.98,4,248,5,0,1,0,sales,low,1
254,BURTON,0.6,0.92,2,258,5,0,1,0,sales,low,1
256,SOTO,0.11,0.81,6,266,4,1,1,0,sales,medium,2
258,WELCH,0.88,0.88,5,232,5,1,1,0,accounting,medium,2
259,CHEN,0.11,0.84,6,287,4,0,1,0,accounting,medium,2
261,WALTERS,0.82,0.97,5,263,5,0,1,0,hr,medium,2
263,FIELDS,0.11,0.78,6,260,4,0,1,0,hr,medium,2
265,LITTLE,0.84,0.93,4,251,5,0,1,0,technical,medium,2
266,FOWLER,0.11,0.95,6,286,4,0,1,0,technical,medium,2
269,MAY,0.38,0.86,6,139,6,0,1,0,technical,medium,2
271,SCHNEIDER,0.11,0.84,6,251,4,0,1,0,technical,medium,2
272,NEWMAN,0.81,0.93,5,270,5,0,1,0,technical,medium,2
273,BREWER,0.09,0.96,6,296,4,0,1,0,technical,low,1
274,LUCAS,0.11,0.9,6,254,4,0,1,0,technical,low,1
275,HOLLAND,0.81,0.95,5,238,6,0,1,0,technical,low,1
276,WONG,0.1,0.97,6,267,4,1,1,0,support,low,1
277,BANKS,0.74,0.89,5,229,6,0,1,0,support,low,1
278,SANTOS,0.09,0.78,6,254,4,0,1,0,support,low,1
279,CURTIS,0.82,0.81,4,233,4,1,1,0,support,low,1
280,PEARSON,0.1,0.98,6,268,4,0,1,0,support,low,1
282,VALDEZ,0.83,0.92,5,267,6,0,1,0,support,low,1
283,PENA,0.1,0.93,6,289,4,1,1,0,support,low,1
286,SANDOVAL,0.11,0.83,6,306,4,0,1,0,support,low,1
287,BARRETT,0.11,0.79,6,292,4,0,1,1,technical,low,1
288,HOPKINS,0.82,0.91,5,232,5,0,1,0,technical,low,1
291,STANLEY,0.87,0.84,5,231,5,0,1,0,IT,low,1
293,ALVARADO,0.11,0.91,6,308,4,1,1,0,IT,low,1
294,BECK,0.1,0.93,6,253,4,0,1,0,IT,medium,2
299,BARNETT,0.74,0.84,5,249,5,0,1,0,product_mng,medium,2
301,SANTIAGO,0.12,1.0,3,278,4,0,1,0,RandD,medium,2
302,LAMBERT,0.1,0.77,7,250,5,0,1,0,RandD,medium,2
304,CHAMBERS,0.89,0.87,5,255,5,0,1,0,RandD,medium,2
307,LEONARD,0.11,0.81,5,287,4,0,1,0,sales,low,1
309,RHODES,0.1,0.94,6,285,4,0,1,0,support,medium,2
310,BYRD,0.1,0.93,7,305,4,0,1,0,technical,medium,2
311,GREGORY,0.11,0.95,7,300,4,0,1,0,management,medium,2
314,BECKER,0.1,0.81,6,268,4,0,1,0,marketing,low,1
315,MALDONADO,0.73,0.86,4,245,6,0,1,0,sales,low,1
318,SUTTON,0.11,0.94,6,276,4,0,1,0,sales,low,1
321,PARKS,0.82,0.84,5,244,5,0,1,0,sales,low,1
323,WATTS,0.11,0.91,7,287,4,0,1,0,sales,low,1
327,VAZQUEZ,0.88,0.99,5,262,6,0,1,0,sales,low,1
328,HOLT,0.1,0.85,6,266,4,0,1,0,sales,low,1
331,BENSON,0.11,0.85,7,302,4,0,1,0,sales,low,1
332,NEAL,0.09,0.98,6,271,4,0,1,0,sales,low,1
334,HORTON,0.1,0.81,6,290,4,0,1,0,accounting,medium,2
336,WOLFE,0.77,0.87,5,266,5,0,1,0,accounting,medium,2
339,GRAVES,0.1,0.91,6,246,4,0,1,0,hr,medium,2
340,HAYNES,0.09,0.89,7,308,5,0,1,0,hr,medium,2
342,PARK,0.9,1.0,5,232,5,0,1,0,technical,medium,2
345,BUSH,0.1,0.86,6,278,4,0,1,0,technical,high,3
346,THORNTON,0.81,1.0,4,253,5,0,1,0,technical,low,1
347,MCCARTHY,0.11,0.8,6,282,4,0,1,0,technical,medium,2
348,MANN,0.11,0.84,7,264,4,0,1,0,technical,medium,2
350,ERICKSON,0.09,0.8,6,304,5,0,1,0,technical,medium,2
351,FLETCHER,0.48,0.93,3,219,6,0,1,0,technical,low,1
352,MCKINNEY,0.91,0.91,4,262,6,0,1,0,support,low,1
354,DAWSON,0.33,0.88,6,219,5,0,1,0,support,low,1
359,ESPINOZA,0.09,0.91,6,275,4,0,1,0,support,low,1
360,BALDWIN,0.1,0.87,6,290,4,0,1,0,support,low,1
361,MORAN,0.76,0.9,4,263,5,0,1,0,support,low,1
363,ROBBINS,0.72,0.96,5,267,5,0,1,0,technical,low,1
365,BALL,0.91,0.87,4,235,5,0,1,0,technical,low,1
366,CORTEZ,0.1,0.83,6,258,4,0,1,0,management,low,1
368,GRIFFITH,0.82,0.86,5,243,5,0,1,0,IT,low,1
369,BOWEN,0.1,0.82,6,266,4,0,1,0,IT,low,1
374,SWANSON,0.86,0.84,5,254,5,0,1,0,product_mng,medium,2
375,BARBER,0.73,0.99,5,262,5,0,1,0,product_mng,medium,2
379,DANIEL,0.77,0.93,4,231,5,0,1,0,hr,medium,2
385,QUINN,0.75,0.9,5,256,5,0,1,0,support,low,1
386,GROSS,0.1,0.93,6,298,4,0,1,0,technical,medium,2
387,NAVARRO,0.1,0.97,6,247,4,0,1,0,management,medium,2
390,DOYLE,0.78,1.0,4,253,5,0,1,0,marketing,low,1
392,ROJAS,0.84,1.0,4,261,5,0,1,0,sales,low,1
393,RODGERS,0.11,0.93,6,282,4,0,1,0,sales,low,1
397,FIGUEROA,0.09,0.79,6,293,5,0,1,0,sales,low,1
398,HARMON,0.87,0.83,4,265,6,0,1,0,sales,low,1
399,NEWTON,0.1,0.87,6,250,4,0,1,0,sales,low,1
400,PAUL,0.91,1.0,5,251,6,0,1,0,sales,low,1
401,MANNING,0.76,0.92,4,246,5,0,1,0,sales,low,1
402,GARNER,0.74,1.0,5,275,5,0,1,0,sales,low,1
403,MCGEE,0.92,0.93,5,240,5,0,1,0,sales,low,1
404,REESE,0.76,0.87,5,245,5,0,1,0,sales,low,1
406,BURGESS,0.73,0.99,5,241,5,0,1,0,sales,low,1
407,ADKINS,0.09,0.94,6,257,4,0,1,0,sales,low,1
408,GOODMAN,0.91,0.92,4,246,5,0,1,0,sales,low,1
409,CURRY,0.82,0.98,4,233,5,0,1,0,sales,low,1
411,CHRISTENSEN,0.84,0.99,4,262,6,0,1,0,accounting,medium,2
414,GOODWIN,0.91,0.97,5,233,5,0,1,0,hr,medium,2
416,MOLINA,0.82,1.0,4,229,6,0,1,0,hr,medium,2
417,WEBSTER,0.11,0.9,6,264,4,0,1,0,technical,medium,2
419,CAMPOS,0.82,0.85,4,223,5,0,1,0,technical,medium,2
420,AVILA,0.09,0.96,6,268,4,0,1,0,technical,medium,2
421,SHERMAN,0.1,0.94,6,287,4,0,1,0,technical,medium,2
422,TODD,0.86,1.0,5,257,5,0,1,0,technical,medium,2
426,WOLF,0.74,0.92,4,261,5,0,1,0,technical,medium,2
433,DURAN,0.87,0.84,4,264,6,0,1,0,support,low,1
434,HUBBARD,0.1,0.84,6,309,4,0,1,0,support,low,1
436,MIRANDA,0.11,0.85,6,261,4,0,1,0,support,low,1
438,SAUNDERS,0.77,0.9,4,237,5,0,1,0,support,low,1
441,HAMMOND,0.36,0.78,2,151,4,0,1,0,technical,low,1
442,CARRILLO,0.77,1.0,5,229,5,0,1,0,management,low,1
443,TOWNSEND,0.81,0.98,5,245,5,0,1,0,IT,low,1
445,INGRAM,0.09,0.94,6,283,5,0,1,0,IT,low,1
447,MEJIA,0.1,0.84,5,298,4,0,1,0,IT,low,1
449,SCHROEDER,0.81,0.92,5,239,5,0,1,0,product_mng,low,1
450,HAMPTON,0.81,0.9,4,226,5,0,1,0,product_mng,medium,2
451,ROWE,0.85,0.98,5,248,5,0,1,0,product_mng,medium,2
452,PARSONS,0.1,0.87,6,286,4,0,1,0,IT,medium,2
454,WATERS,0.09,0.97,7,254,4,1,1,0,RandD,medium,2
456,OSBORNE,0.86,0.93,5,223,5,0,1,0,RandD,medium,2
457,MAXWELL,0.77,1.0,4,255,5,0,1,0,RandD,medium,2
463,PATTON,0.8,0.85,4,273,5,0,1,0,management,low,1
464,LOGAN,0.82,0.98,5,234,5,0,1,0,marketing,medium,2
467,GLOVER,0.09,0.95,6,292,4,0,1,0,sales,medium,2
468,FLOYD,0.9,0.92,5,245,5,0,1,0,sales,low,1
470,BUCHANAN,0.1,0.85,6,260,4,0,1,0,sales,low,1
472,FRENCH,0.89,0.85,5,266,5,0,1,0,sales,low,1
474,MCCORMICK,0.87,1.0,5,242,5,0,1,0,sales,low,1
476,TYLER,0.11,0.87,5,271,4,0,1,0,sales,low,1
477,GIBBS,0.09,0.79,6,275,4,0,1,0,sales,low,1
478,MOODY,0.76,0.83,5,227,5,0,1,0,sales,low,1
479,CONNER,0.11,0.96,7,277,5,0,1,0,sales,low,1
481,MCGUIRE,0.1,0.79,6,274,4,0,1,0,sales,low,1
482,LEON,0.77,0.87,4,242,6,0,1,0,sales,low,1
487,HOGAN,0.19,1.0,4,192,4,0,1,0,accounting,low,1
488,ROBLES,0.1,0.83,7,276,4,0,1,0,accounting,low,1
489,SALINAS,0.76,0.88,4,206,4,0,1,0,hr,medium,2
492,LLOYD,0.11,0.83,6,244,4,0,1,0,hr,medium,2
493,MARSH,0.1,0.94,6,309,4,0,1,0,technical,medium,2
494,MCBRIDE,0.84,1.0,5,218,5,0,1,0,technical,medium,2
495,OWEN,0.82,0.99,4,263,6,0,1,0,technical,medium,2
496,SOLIS,0.1,0.82,6,244,4,0,1,0,technical,medium,2
499,PRATT,0.89,0.95,2,181,5,0,1,0,technical,medium,2
500,LARA,0.91,0.84,5,265,5,0,1,0,technical,medium,2
502,BALLARD,0.11,0.87,7,282,5,0,1,0,technical,low,1
504,SHAFFER,0.78,0.83,4,217,6,0,1,0,support,medium,2
505,DRAKE,0.11,0.97,6,289,5,0,1,0,support,medium,2
506,ROMAN,0.83,0.98,4,259,5,0,1,0,support,medium,2
511,PACHECO,0.53,0.85,2,164,5,0,1,0,support,low,1
512,PATRICK,0.09,0.96,6,259,4,0,1,0,support,low,1
513,COCHRAN,0.11,0.89,6,293,4,0,1,0,support,low,1
514,SHEPHERD,0.83,0.96,5,275,5,0,1,0,support,low,1
515,CAIN,0.88,1.0,5,219,6,1,1,0,technical,low,1
516,BURNETT,0.1,0.89,6,247,4,0,1,0,technical,low,1
517,HESS,0.09,0.86,7,309,4,0,1,0,technical,low,1
520,OLSEN,0.87,0.94,4,274,5,0,1,0,IT,low,1
521,BRIGGS,0.74,0.99,4,233,5,0,1,0,IT,low,1
522,OCHOA,0.1,0.95,7,289,4,0,1,0,IT,low,1
523,CABRERA,0.74,0.82,4,239,6,0,1,0,IT,low,1
524,VELASQUEZ,0.75,0.99,5,221,5,0,1,0,product_mng,low,1
527,MEYERS,0.09,0.9,7,289,4,0,1,0,product_mng,low,1
528,CARDENAS,0.09,0.8,6,301,5,0,1,0,IT,medium,2
532,HOOVER,0.1,0.84,6,246,4,0,1,0,hr,medium,2
534,UNDERWOOD,0.75,0.85,5,240,6,1,1,0,marketing,medium,2
536,CARSON,0.11,0.85,6,305,4,0,1,0,accounting,medium,2
538,COLON,0.87,1.0,5,261,5,1,1,0,technical,medium,2
539,HOLLOWAY,0.11,0.94,7,244,4,0,1,0,management,medium,2
541,BRYAN,0.81,0.87,4,254,5,0,1,0,marketing,low,1
542,PETERSEN,0.77,0.91,5,236,5,0,1,0,marketing,medium,2
543,MCKENZIE,0.89,0.92,5,237,5,0,1,0,sales,medium,2
545,WILCOX,0.78,1.0,5,236,5,0,1,0,sales,medium,2
548,POOLE,0.85,0.82,4,270,5,0,1,0,sales,low,1
550,GALLEGOS,0.11,0.96,6,298,4,0,1,0,sales,low,1
551,GREER,0.75,0.99,5,254,5,0,1,0,sales,low,1
552,RIVAS,0.82,0.85,5,248,5,0,1,0,sales,low,1
553,GUERRA,0.79,1.0,5,257,6,0,1,0,sales,low,1
555,COLLIER,0.1,0.9,7,281,4,0,1,0,sales,low,1
559,FLOWERS,0.11,0.8,7,296,4,0,1,0,sales,low,1
560,DAVENPORT,0.09,0.86,6,279,4,0,1,0,sales,low,1
563,HUFF,0.1,0.77,7,291,4,0,1,0,accounting,low,1
566,MONROE,0.11,0.79,7,310,4,0,1,0,hr,low,1
567,MASSEY,0.1,0.97,6,282,4,0,1,0,hr,medium,2
571,LARSEN,0.73,1.0,4,252,5,0,1,0,technical,medium,2
572,PITTMAN,0.75,0.97,5,243,6,0,1,0,technical,medium,2
577,CAMERON,0.57,0.72,4,275,6,0,1,0,technical,medium,2
578,BRIDGES,0.9,0.96,5,243,5,0,1,0,technical,medium,2
581,KIRK,0.81,0.88,5,242,5,0,1,0,support,medium,2
582,BRUCE,0.74,0.87,5,242,5,0,1,0,support,medium,2
587,ABBOTT,0.8,0.83,2,211,3,0,1,0,support,low,1
588,CHARLES,0.87,0.9,5,258,5,0,1,0,support,low,1
592,HORN,0.1,0.8,6,264,4,0,1,0,technical,low,1
594,ROSALES,0.1,0.77,6,255,4,0,1,0,management,low,1
595,YORK,0.09,0.87,5,263,4,0,1,0,IT,low,1
596,CHRISTIAN,0.86,0.84,5,222,5,0,1,0,IT,low,1
597,PHELPS,0.11,0.9,6,263,4,0,1,0,IT,low,1
599,CASTANEDA,0.11,0.92,7,307,4,0,1,0,IT,low,1
600,NASH,0.77,0.98,5,259,6,0,1,0,product_mng,low,1
601,DICKERSON,0.84,0.94,5,222,6,0,1,0,product_mng,low,1
602,BOND,0.1,0.84,7,250,4,0,1,0,product_mng,low,1
603,WYATT,0.83,0.9,5,245,5,0,1,0,product_mng,low,1
604,FOLEY,0.11,0.79,6,292,4,0,1,0,IT,low,1
605,CHASE,0.86,0.92,5,252,5,0,1,0,RandD,low,1
607,VINCENT,0.11,0.88,5,250,4,0,1,0,RandD,medium,2
609,HODGE,0.1,0.85,7,279,4,0,1,0,RandD,medium,2
610,GARRISON,0.09,0.95,7,256,4,0,1,0,marketing,medium,2
613,HEATH,0.81,0.97,5,243,5,0,1,0,support,medium,2
614,DALTON,0.09,0.9,7,296,4,0,1,0,technical,medium,2
615,VALENCIA,0.1,0.88,7,267,4,0,1,0,management,medium,2
617,HENSLEY,0.83,0.95,4,251,5,0,1,0,marketing,medium,2
621,BOYER,0.1,0.86,6,247,4,0,1,0,sales,medium,2
625,GRIMES,0.78,0.98,5,263,6,0,1,0,sales,low,1
628,DELACRUZ,0.72,0.85,5,244,6,0,1,0,sales,low,1
630,DILLON,0.1,0.9,7,286,4,0,1,0,sales,low,1
632,ONEILL,0.11,0.89,6,260,5,0,1,0,sales,low,1
634,BOOTH,0.82,0.92,5,225,5,0,1,0,sales,low,1
638,PITTS,0.84,0.83,4,227,5,0,1,0,accounting,low,1
641,BRENNAN,0.74,0.97,4,228,5,0,1,0,hr,low,1
642,SALAS,0.73,0.97,5,235,5,0,1,0,hr,low,1
646,BAXTER,0.51,0.83,5,249,4,0,1,0,technical,medium,2
651,MCDOWELL,0.09,0.88,6,269,4,0,1,0,technical,medium,2
652,WILEY,0.09,0.77,6,290,4,0,1,0,technical,medium,2
654,HUMPHREY,0.1,0.89,7,308,4,0,1,0,technical,medium,2
655,JOHNS,0.77,1.0,4,232,5,0,1,0,technical,medium,2
656,KOCH,0.79,0.86,5,235,5,0,1,0,support,medium,2
659,BEARD,0.77,0.91,5,221,6,0,1,0,support,medium,2
662,KEITH,0.78,0.89,5,274,6,0,1,0,support,medium,2
663,MACIAS,0.1,0.79,6,256,5,0,1,0,support,low,1
664,KHAN,0.1,0.77,5,276,4,0,1,0,support,low,1
665,ANDRADE,0.75,0.85,5,267,5,0,1,0,support,low,1
667,STEPHENSON,0.91,0.97,4,274,6,0,1,0,technical,low,1
668,HENSON,0.1,0.92,6,258,4,0,1,0,technical,low,1
670,DYER,0.11,0.95,6,245,4,0,1,0,management,low,1
671,MCCLURE,0.11,0.94,6,264,4,0,1,0,IT,low,1
676,CLAY,0.11,0.82,6,270,4,0,1,0,product_mng,low,1
677,BARRON,0.73,0.89,5,236,6,0,1,0,product_mng,low,1
679,ONEAL,0.86,1.0,5,229,5,0,1,0,product_mng,low,1
680,SMALL,0.1,0.83,6,269,4,0,1,0,IT,low,1
682,WU,0.11,0.87,7,278,4,0,1,0,sales,low,1
683,ZAMORA,0.86,0.98,3,158,5,0,1,0,sales,low,1
684,MACDONALD,0.42,1.0,3,202,3,0,1,0,sales,medium,2
685,VANCE,0.79,0.84,4,240,5,0,1,0,sales,medium,2
686,SNOW,0.1,0.96,7,255,4,0,1,0,marketing,medium,2
687,MCCLAIN,0.09,0.92,7,254,4,0,1,0,sales,medium,2
688,STAFFORD,0.09,0.82,6,257,4,0,1,0,accounting,medium,2
689,OROZCO,0.87,1.0,4,228,5,0,1,0,support,medium,2
691,ENGLISH,0.42,0.75,3,218,4,0,1,0,management,medium,2
692,SHANNON,0.84,0.86,5,268,5,0,1,0,marketing,medium,2
693,KLINE,0.1,0.83,6,278,4,0,1,0,marketing,medium,2
694,JACOBSON,0.78,0.71,3,249,5,0,1,0,marketing,medium,2
695,WOODARD,0.35,0.99,3,236,4,0,1,0,sales,medium,2
696,HUANG,0.1,0.81,7,291,4,0,1,0,sales,high,3
697,KEMP,0.11,0.8,6,306,4,0,1,0,sales,low,1
701,HURST,0.89,0.82,4,243,5,0,1,0,sales,medium,2
706,YODER,0.79,0.93,4,226,5,0,1,0,sales,low,1
707,MCCULLOUGH,0.79,0.91,5,271,5,0,1,0,sales,low,1
708,LESTER,0.11,0.87,6,255,4,0,1,0,sales,low,1
712,BARRERA,0.84,0.98,5,270,5,0,1,0,sales,low,1
713,ORR,0.73,0.92,5,232,5,0,1,0,sales,low,1
717,STRONG,0.11,0.78,6,243,4,0,1,0,hr,low,1
718,CONWAY,0.91,1.0,5,244,6,0,1,0,hr,low,1
719,STEIN,0.8,1.0,5,260,5,0,1,0,hr,low,1
721,BULLOCK,0.31,0.87,4,184,3,0,1,0,technical,low,1
729,STOUT,0.09,0.83,6,282,4,0,1,0,technical,medium,2
731,BROWNING,0.79,0.94,4,232,5,0,1,0,technical,medium,2
734,BARTLETT,0.11,0.92,7,255,4,0,1,0,support,medium,2
735,PRUITT,0.83,0.99,5,258,5,0,1,0,support,high,3
736,BUCK,0.81,0.91,4,229,5,0,1,0,support,low,1
738,GAINES,0.11,0.87,6,257,4,0,1,0,support,medium,2
739,DURHAM,0.11,0.85,7,275,4,0,1,0,support,medium,2
740,GENTRY,0.1,0.89,7,291,4,0,1,0,support,medium,2
743,ROCHA,0.11,0.9,6,301,4,0,1,0,technical,low,1
745,HERMAN,0.11,0.78,6,245,4,0,1,0,technical,low,1
749,RANGEL,0.86,0.84,4,246,6,0,1,0,IT,low,1
754,SELLERS,0.66,0.93,5,253,5,0,1,0,product_mng,low,1
756,CALHOUN,0.77,0.92,5,235,5,0,1,0,IT,low,1
760,MCCALL,0.1,0.9,7,290,4,0,1,0,sales,low,1
761,MORSE,0.09,0.93,6,249,4,0,1,0,sales,low,1
764,NIELSEN,0.83,0.99,4,223,5,0,1,0,accounting,medium,2
