name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level
KING,0.84,0.87,4,246,6,0,1,0,hr,low,1
SCOTT,0.1,0.94,6,255,4,0,1,0,technical,low,1
GREEN,0.38,0.46,2,137,3,0,1,0,technical,low,1
BAKER,0.45,0.5,2,126,3,0,1,0,technical,low,1
ADAMS,0.11,0.89,6,306,4,0,1,0,technical,low,1
NELSON,0.41,0.54,2,152,3,0,1,0,technical,low,1
HILL,0.87,0.88,5,269,5,0,1,0,technical,low,1
RAMIREZ,0.45,0.48,2,158,3,0,1,0,technical,low,1
CAMPBELL,0.4,0.46,2,127,3,0,1,0,technical,low,1
MITCHELL,0.1,0.8,7,281,4,0,1,0,technical,low,1
ROBERTS,0.09,0.89,6,276,4,0,1,0,technical,low,1
CARTER,0.84,0.74,3,182,4,0,1,0,technical,low,1
PHILLIPS,0.4,0.55,2,147,3,0,1,0,support,low,1
EVANS,0.57,0.7,3,273,6,0,1,0,support,low,1
TURNER,0.4,0.54,2,148,3,0,1,0,support,low,1
TORRES,0.43,0.47,2,147,3,0,1,0,support,low,1
PARKER,0.13,0.78,6,152,2,0,1,0,support,low,1
COLLINS,0.44,0.55,2,135,3,0,1,0,support,low,1
EDWARDS,0.38,0.55,2,134,3,0,1,0,support,low,1
STEWART,0.39,0.54,2,132,3,0,1,0,support,low,1
FLORES,0.1,0.92,7,307,4,0,1,0,support,low,1
MORRIS,0.37,0.46,2,140,3,0,1,0,support,low,1
NGUYEN,0.11,0.94,7,255,4,0,1,0,support,low,1
MURPHY,0.1,0.81,6,309,4,0,1,0,technical,low,1
RIVERA,0.38,0.54,2,128,3,0,1,0,technical,low,1
COOK,0.85,1,4,225,5,0,1,0,technical,low,1
ROGERS,0.85,0.91,5,226,5,0,1,0,management,medium,2
MORGAN,0.11,0.93,7,308,4,0,1,0,IT,medium,2
PETERSON,0.1,0.95,6,244,5,0,1,0,IT,medium,2
COOPER,0.36,0.56,2,132,3,0,1,0,IT,medium,2
REED,0.11,0.94,6,286,4,0,1,0,IT,medium,2
BAILEY,0.81,0.7,6,161,4,0,1,0,IT,medium,2
BELL,0.43,0.54,2,153,3,0,1,0,product_mng,medium,2
GOMEZ,0.9,0.98,4,264,6,0,1,0,product_mng,medium,2
KELLY,0.76,0.86,5,223,5,1,1,0,product_mng,medium,2
HOWARD,0.43,0.5,2,135,3,0,1,0,product_mng,medium,2
WARD,0.74,0.99,2,277,3,0,1,0,IT,medium,2
COX,0.09,0.77,5,275,4,0,1,0,product_mng,medium,2
DIAZ,0.45,0.49,2,149,3,0,1,0,product_mng,high,3
RICHARDSON,0.09,0.87,7,295,4,0,1,0,product_mng,low,1
WOOD,0.11,0.97,6,277,4,0,1,0,product_mng,medium,2
WATSON,0.11,0.79,7,306,4,0,1,0,product_mng,medium,2
BROOKS,0.1,0.83,6,295,4,0,1,0,product_mng,medium,2
BENNETT,0.4,0.54,2,137,3,0,1,0,marketing,medium,2
GRAY,0.43,0.56,2,157,3,0,1,0,sales,low,1
JAMES,0.39,0.56,2,142,3,0,1,0,accounting,low,1
REYES,0.45,0.54,2,140,3,0,1,0,support,low,1
CRUZ,0.38,0.49,2,151,3,0,1,0,technical,low,1
HUGHES,0.79,0.59,4,139,3,0,1,1,management,low,1
PRICE,0.84,0.85,4,249,6,0,1,0,marketing,low,1
MYERS,0.11,0.77,6,291,4,0,1,0,marketing,low,1
LONG,0.11,0.87,6,305,4,0,1,0,marketing,low,1
FOSTER,0.17,0.84,5,232,3,0,1,0,sales,low,1
SANDERS,0.44,0.45,2,132,3,0,1,0,sales,low,1
ROSS,0.37,0.57,2,130,3,0,1,0,sales,low,1
MORALES,0.1,0.79,6,291,4,0,1,0,sales,low,1
POWELL,0.4,0.5,2,130,3,0,1,0,sales,low,1
SULLIVAN,0.89,1,5,246,5,0,1,0,sales,low,1
RUSSELL,0.42,0.48,2,143,3,0,1,0,sales,low,1
ORTIZ,0.46,0.55,2,129,3,0,1,0,sales,low,1
JENKINS,0.09,0.83,6,255,4,0,1,0,sales,low,1
GUTIERREZ,0.37,0.51,2,155,3,0,1,0,sales,low,1
PERRY,0.1,0.77,6,265,4,0,1,0,sales,low,1
BUTLER,0.1,0.84,6,279,4,0,1,0,sales,low,1
BARNES,0.11,0.97,6,284,4,0,1,0,sales,low,1
FISHER,0.9,1,5,221,6,0,1,0,sales,medium,2
HENDERSON,0.38,0.52,2,154,3,0,1,0,sales,medium,2
COLEMAN,0.36,0.52,2,147,3,0,1,0,sales,medium,2
SIMMONS,0.42,0.46,2,150,3,0,1,0,sales,medium,2
PATTERSON,0.09,0.94,7,267,4,0,1,0,sales,medium,2
JORDAN,0.43,0.52,2,158,3,0,1,0,sales,medium,2
REYNOLDS,0.24,0.46,7,224,5,0,1,0,accounting,medium,2
HAMILTON,0.91,1,4,257,5,0,1,0,accounting,medium,2
GRAHAM,0.44,0.5,2,148,3,0,1,0,accounting,medium,2
KIM,0.71,0.87,3,177,4,0,1,0,hr,medium,2
GONZALES,0.4,0.49,2,155,3,0,1,0,hr,medium,2
ALEXANDER,0.43,0.47,2,144,3,0,1,0,hr,medium,2
RAMOS,0.09,0.85,6,289,4,0,1,0,hr,high,3
WALLACE,0.43,0.52,2,160,3,0,1,0,technical,low,1
GRIFFIN,0.9,0.96,4,258,5,0,1,0,technical,medium,2
WEST,0.84,1,5,234,5,0,1,0,technical,medium,2
COLE,0.37,0.48,2,137,3,0,1,0,technical,medium,2
HAYES,0.86,0.68,5,263,2,0,1,0,technical,medium,2
CHAVEZ,0.11,0.84,6,251,4,0,1,0,technical,low,1
GIBSON,0.37,0.57,2,133,3,0,1,0,technical,low,1
BRYANT,0.4,0.46,2,132,3,0,1,0,technical,low,1
ELLIS,0.14,0.62,4,158,4,1,1,0,technical,low,1
STEVENS,0.4,0.46,2,135,3,0,1,0,technical,low,1
MURRAY,0.75,1,4,216,6,0,1,0,technical,low,1
FORD,0.11,0.84,6,300,5,1,1,0,support,low,1
MARSHALL,0.46,0.49,2,138,3,0,1,0,support,low,1
OWENS,0.11,0.92,6,260,4,0,1,0,support,low,1
MCDONALD,0.38,0.49,2,132,3,0,1,0,support,low,1
HARRISON,0.7,0.89,3,183,5,0,1,0,support,low,1
RUIZ,0.09,0.82,6,250,4,0,1,0,support,low,1
KENNEDY,0.37,0.45,2,151,3,0,1,0,support,low,1
WELLS,0.1,0.83,6,292,4,0,1,0,support,low,1
ALVAREZ,0.38,0.57,2,140,3,0,1,0,support,low,1
WOODS,0.9,1,5,221,5,0,1,0,support,low,1
MENDOZA,0.44,0.51,2,138,3,0,1,0,support,low,1
CASTILLO,0.36,0.5,2,132,3,0,1,0,technical,low,1
OLSON,0.31,0.84,7,133,5,0,1,0,technical,low,1
WEBB,0.1,0.84,6,283,4,1,1,0,technical,low,1
WASHINGTON,0.42,0.48,2,129,3,0,1,0,management,low,1
TUCKER,0.74,1,4,249,5,0,1,0,IT,low,1
FREEMAN,0.73,0.87,5,257,5,0,1,0,IT,low,1
BURNS,0.09,0.96,6,245,4,0,1,0,IT,low,1
HENRY,0.45,0.53,2,155,3,0,1,0,IT,low,1
VASQUEZ,0.11,0.8,6,256,4,0,1,0,IT,low,1
SNYDER,0.37,0.47,2,152,3,0,1,0,product_mng,low,1
SIMPSON,0.84,0.99,4,267,5,0,1,0,product_mng,low,1
CRAWFORD,0.41,0.46,2,151,3,0,1,0,product_mng,low,1
JIMENEZ,0.76,0.92,4,239,5,0,1,0,product_mng,low,1
PORTER,0.11,0.87,6,306,4,0,1,0,IT,low,1
MASON,0.84,0.88,4,263,5,1,1,0,marketing,low,1
SHAW,0.39,0.5,2,147,3,0,1,0,marketing,low,1
GORDON,0.11,0.91,6,278,4,0,1,0,marketing,low,1
WAGNER,0.45,0.56,2,154,3,0,1,0,marketing,low,1
HUNTER,0.37,0.52,2,143,3,0,1,0,marketing,low,1
ROMERO,0.4,0.52,2,155,3,0,1,0,marketing,low,1
HICKS,0.39,0.48,2,160,3,0,1,0,sales,low,1
DIXON,0.11,0.8,6,304,4,0,1,0,accounting,low,1
HUNT,0.83,1,5,240,5,0,1,0,support,low,1
PALMER,0.11,0.92,6,305,4,0,1,0,technical,low,1
ROBERTSON,0.39,0.5,2,136,3,0,1,0,management,low,1
BLACK,0.45,0.45,2,132,3,0,1,0,marketing,low,1
HOLMES,0.1,0.95,7,301,4,0,1,0,marketing,low,1
STONE,0.9,0.98,5,243,6,0,1,0,marketing,low,1
MEYER,0.45,0.51,2,147,3,0,1,0,sales,low,1
BOYD,0.79,0.89,5,239,5,0,1,0,sales,low,1
MILLS,0.9,0.99,5,260,5,0,1,0,sales,low,1
WARREN,0.11,0.84,7,296,4,0,1,0,sales,low,1
FOX,0.43,0.55,2,129,3,0,1,0,sales,low,1
ROSE,0.31,0.54,5,132,5,0,1,0,sales,low,1
RICE,0.32,0.5,2,135,5,0,1,0,sales,low,1
MORENO,0.45,0.57,2,158,3,0,1,0,sales,low,1
SCHMIDT,0.81,0.99,4,259,5,0,1,0,sales,low,1
PATEL,0.41,0.46,2,160,3,0,1,1,sales,low,1
FERGUSON,0.11,0.78,7,278,4,0,1,0,sales,low,1
NICHOLS,0.1,0.88,6,284,4,0,1,0,sales,low,1
HERRERA,0.7,0.53,2,274,4,0,1,0,sales,low,1
MEDINA,0.54,0.74,4,164,2,0,1,0,sales,low,1
RYAN,0.41,0.48,2,148,3,0,1,0,sales,low,1
FERNANDEZ,0.38,0.5,2,140,3,0,1,0,sales,medium,2
WEAVER,0.37,0.51,2,127,3,0,1,0,sales,medium,2
DANIELS,0.11,0.85,6,308,5,0,1,0,sales,medium,2
STEPHENS,0.4,0.47,2,146,3,0,1,0,sales,medium,2
GARDNER,0.1,0.84,6,261,4,0,1,0,accounting,medium,2
PAYNE,0.89,0.99,5,257,5,0,1,0,accounting,medium,2
KELLEY,0.11,0.8,6,285,4,0,1,0,accounting,medium,2
DUNN,0.36,0.55,2,141,3,0,1,0,hr,medium,2
PIERCE,0.4,0.46,2,127,3,0,1,0,hr,medium,2
ARNOLD,0.09,0.85,6,297,4,0,1,0,hr,medium,2
TRAN,0.4,0.46,2,143,3,0,1,0,hr,medium,2
SPENCER,0.37,0.55,2,152,3,0,1,0,technical,medium,2
PETERS,0.44,0.51,2,156,3,0,1,0,technical,high,3
HAWKINS,0.09,0.8,7,283,5,0,1,0,technical,low,1
GRANT,0.92,0.87,4,226,6,1,1,0,technical,medium,2
HANSEN,0.74,0.91,4,232,5,0,1,0,technical,medium,2
CASTRO,0.09,0.82,6,249,4,0,1,0,technical,medium,2
HOFFMAN,0.89,0.95,4,275,5,0,1,0,technical,medium,2
HART,0.09,0.8,6,304,4,0,1,0,technical,low,1
ELLIOTT,0.27,0.54,7,278,3,0,1,0,technical,low,1
CUNNINGHAM,0.1,0.91,6,287,4,0,1,0,technical,low,1
KNIGHT,0.1,0.89,7,285,4,0,1,0,technical,low,1
BRADLEY,0.77,0.94,5,226,6,0,1,0,support,low,1
CARROLL,0.9,0.82,5,259,5,0,1,0,support,low,1
HUDSON,0.39,0.5,2,135,3,0,1,0,support,low,1
DUNCAN,0.76,1,5,219,5,0,1,0,support,low,1
ARMSTRONG,0.1,0.93,6,256,4,0,1,0,support,low,1
BERRY,0.87,0.9,5,254,6,0,1,0,support,low,1
ANDREWS,0.38,0.5,2,153,3,0,1,0,support,low,1
JOHNSTON,0.77,0.99,5,228,5,0,1,0,support,low,1
RAY,0.78,0.87,4,228,5,0,1,0,support,low,1
LANE,0.44,0.5,2,128,3,0,1,0,support,low,1
RILEY,0.38,0.52,2,153,3,0,1,0,support,low,1
CARPENTER,0.43,0.46,2,156,3,0,1,0,technical,low,1
PERKINS,0.39,0.5,4,294,3,0,1,0,technical,low,1
AGUILAR,0.88,1,5,219,5,0,1,0,technical,low,1
SILVA,0.45,0.46,2,153,3,0,1,0,management,low,1
RICHARDS,0.4,0.53,2,151,3,0,1,0,IT,low,1
WILLIS,0.36,0.51,2,155,3,0,1,0,IT,low,1
MATTHEWS,0.36,0.48,2,158,3,0,1,0,IT,low,1
CHAPMAN,0.9,0.98,5,245,5,0,1,0,IT,low,1
LAWRENCE,0.43,0.53,2,131,3,0,1,0,IT,low,1
GARZA,0.89,0.87,5,225,5,0,1,0,product_mng,low,1
VARGAS,0.1,0.84,6,286,4,0,1,0,product_mng,low,1
WATKINS,0.37,0.5,2,135,3,0,1,0,product_mng,low,1
WHEELER,0.37,0.51,2,153,3,0,1,0,product_mng,low,1
LARSON,0.87,0.9,5,252,5,0,1,0,IT,low,1
CARLSON,0.4,0.56,2,149,3,0,1,0,accounting,low,1
HARPER,0.9,0.97,4,258,5,0,1,0,accounting,low,1
GEORGE,0.37,0.46,2,158,3,0,1,0,hr,low,1
GREENE,0.44,0.54,2,149,3,0,1,0,hr,low,1
BURKE,0.85,0.95,5,236,5,0,1,0,hr,low,1
GUZMAN,0.78,0.98,5,239,6,0,1,0,marketing,low,1
MORRISON,0.42,0.47,2,159,3,0,1,0,marketing,low,1
MUNOZ,0.92,0.99,5,255,6,0,1,0,sales,low,1
JACOBS,0.11,0.83,6,244,4,0,1,0,accounting,low,1
OBRIEN,0.42,0.56,2,134,3,0,1,0,support,low,1
LAWSON,0.48,0.57,4,270,4,0,1,0,technical,low,1
FRANKLIN,0.83,0.85,4,255,5,0,1,0,management,low,1
LYNCH,0.4,0.53,2,151,3,0,1,0,marketing,low,1
BISHOP,0.43,0.45,2,135,3,0,1,0,marketing,low,1
CARR,0.43,0.53,2,146,3,0,1,0,marketing,low,1
SALAZAR,0.1,0.97,7,254,4,0,1,0,sales,low,1
AUSTIN,0.1,0.87,7,289,4,0,1,0,sales,low,1
MENDEZ,0.37,0.46,2,156,3,0,1,0,sales,low,1
GILBERT,0.38,0.53,2,156,3,0,1,0,sales,low,1
JENSEN,0.4,0.5,2,128,3,0,1,0,sales,low,1
WILLIAMSON,0.89,0.86,5,275,5,0,1,0,sales,low,1
MONTGOMERY,0.45,0.46,2,155,3,0,1,0,sales,low,1
HARVEY,0.37,0.48,2,159,3,0,1,0,sales,low,1
OLIVER,0.46,0.49,2,148,3,0,1,0,sales,low,1
HOWELL,0.87,0.91,4,228,5,0,1,0,sales,low,1
DEAN,0.11,0.84,6,298,4,0,1,0,sales,low,1
HANSON,0.79,0.87,5,261,5,0,1,0,sales,low,1
WEBER,0.79,0.92,5,254,6,0,1,0,sales,low,1
GARRETT,0.19,0.59,7,192,3,0,1,0,sales,low,1
SIMS,0.87,0.98,4,248,5,0,1,0,sales,low,1
BURTON,0.6,0.92,2,258,5,0,1,0,sales,low,1
FULLER,0.44,0.45,2,156,3,0,1,0,sales,medium,2
SOTO,0.11,0.81,6,266,4,1,1,0,sales,medium,2
MCCOY,0.42,0.54,2,156,3,0,1,0,sales,medium,2
WELCH,0.88,0.88,5,232,5,1,1,0,accounting,medium,2
CHEN,0.11,0.84,6,287,4,0,1,0,accounting,medium,2
SCHULTZ,0.46,0.46,2,154,3,0,1,0,accounting,medium,2
WALTERS,0.82,0.97,5,263,5,0,1,0,hr,medium,2
REID,0.44,0.56,2,131,3,0,1,0,hr,medium,2
FIELDS,0.11,0.78,6,260,4,0,1,0,hr,medium,2
WALSH,0.42,0.5,2,139,3,0,1,0,hr,medium,2
LITTLE,0.84,0.93,4,251,5,0,1,0,technical,medium,2
FOWLER,0.11,0.95,6,286,4,0,1,0,technical,medium,2
BOWMAN,0.45,0.53,2,129,3,0,1,0,technical,high,3
DAVIDSON,0.38,0.56,2,156,3,0,1,0,technical,low,1
MAY,0.38,0.86,6,139,6,0,1,0,technical,medium,2
DAY,0.44,0.51,2,127,3,0,1,0,technical,medium,2
SCHNEIDER,0.11,0.84,6,251,4,0,1,0,technical,medium,2
NEWMAN,0.81,0.93,5,270,5,0,1,0,technical,medium,2
BREWER,0.09,0.96,6,296,4,0,1,0,technical,low,1
LUCAS,0.11,0.9,6,254,4,0,1,0,technical,low,1
HOLLAND,0.81,0.95,5,238,6,0,1,0,technical,low,1
WONG,0.1,0.97,6,267,4,1,1,0,support,low,1
BANKS,0.74,0.89,5,229,6,0,1,0,support,low,1
SANTOS,0.09,0.78,6,254,4,0,1,0,support,low,1
CURTIS,0.82,0.81,4,233,4,1,1,0,support,low,1
PEARSON,0.1,0.98,6,268,4,0,1,0,support,low,1
DELGADO,0.27,0.56,3,301,3,0,1,0,support,low,1
VALDEZ,0.83,0.92,5,267,6,0,1,0,support,low,1
PENA,0.1,0.93,6,289,4,1,1,0,support,low,1
RIOS,0.38,0.47,2,144,3,0,1,0,support,low,1
DOUGLAS,0.4,0.56,2,148,3,0,1,0,support,low,1
SANDOVAL,0.11,0.83,6,306,4,0,1,0,support,low,1
BARRETT,0.11,0.79,6,292,4,0,1,1,technical,low,1
HOPKINS,0.82,0.91,5,232,5,0,1,0,technical,low,1
KELLER,0.36,0.48,2,137,3,0,1,0,technical,low,1
GUERRERO,0.4,0.46,2,128,3,0,1,0,management,low,1
STANLEY,0.87,0.84,5,231,5,0,1,0,IT,low,1
BATES,0.41,0.49,2,146,3,0,1,0,IT,low,1
ALVARADO,0.11,0.91,6,308,4,1,1,0,IT,low,1
BECK,0.1,0.93,6,253,4,0,1,0,IT,medium,2
ORTEGA,0.38,0.51,2,146,3,0,1,0,IT,medium,2
WADE,0.39,0.55,2,156,3,0,1,0,product_mng,medium,2
ESTRADA,0.4,0.52,2,147,3,0,1,0,product_mng,medium,2
CONTRERAS,0.45,0.48,2,136,3,0,1,0,product_mng,medium,2
BARNETT,0.74,0.84,5,249,5,0,1,0,product_mng,medium,2
CALDWELL,0.45,0.55,2,151,3,0,1,0,IT,medium,2
SANTIAGO,0.12,1,3,278,4,0,1,0,RandD,medium,2
LAMBERT,0.1,0.77,7,250,5,0,1,0,RandD,medium,2
POWERS,0.37,0.55,2,127,3,0,1,0,RandD,medium,2
CHAMBERS,0.89,0.87,5,255,5,0,1,0,RandD,medium,2
NUNEZ,0.45,0.47,2,135,3,0,1,0,RandD,medium,2
CRAIG,0.37,0.46,2,149,3,0,1,0,marketing,high,3
LEONARD,0.11,0.81,5,287,4,0,1,0,sales,low,1
LOWE,0.41,0.48,2,145,3,0,1,0,accounting,medium,2
RHODES,0.1,0.94,6,285,4,0,1,0,support,medium,2
BYRD,0.1,0.93,7,305,4,0,1,0,technical,medium,2
GREGORY,0.11,0.95,7,300,4,0,1,0,management,medium,2
SHELTON,0.4,0.54,2,139,3,0,1,0,marketing,low,1
FRAZIER,0.41,0.49,2,130,3,0,1,0,marketing,low,1
BECKER,0.1,0.81,6,268,4,0,1,0,marketing,low,1
MALDONADO,0.73,0.86,4,245,6,0,1,0,sales,low,1
FLEMING,0.43,0.47,2,135,3,0,1,0,sales,low,1
VEGA,0.37,0.46,2,153,3,0,1,0,sales,low,1
SUTTON,0.11,0.94,6,276,4,0,1,0,sales,low,1
COHEN,0.4,0.46,2,130,3,0,1,0,sales,low,1
JENNINGS,0.41,0.54,2,153,3,1,1,0,sales,low,1
PARKS,0.82,0.84,5,244,5,0,1,0,sales,low,1
MCDANIEL,0.61,0.47,2,253,3,0,1,0,sales,low,1
WATTS,0.11,0.91,7,287,4,0,1,0,sales,low,1
BARKER,0.37,0.45,2,131,3,0,1,0,sales,low,1
NORRIS,0.41,0.52,2,135,3,0,1,0,sales,low,1
VAUGHN,0.37,0.52,2,157,3,0,1,0,sales,low,1
VAZQUEZ,0.88,0.99,5,262,6,0,1,0,sales,low,1
HOLT,0.1,0.85,6,266,4,0,1,0,sales,low,1
SCHWARTZ,0.44,0.48,2,148,3,0,1,0,sales,low,1
STEELE,0.38,0.57,2,140,3,0,1,0,sales,low,1
BENSON,0.11,0.85,7,302,4,0,1,0,sales,low,1
NEAL,0.09,0.98,6,271,4,0,1,0,sales,low,1
DOMINGUEZ,0.45,0.52,2,145,3,0,1,0,sales,medium,2
HORTON,0.1,0.81,6,290,4,0,1,0,accounting,medium,2
TERRY,0.45,0.47,2,151,3,0,1,0,accounting,medium,2
WOLFE,0.77,0.87,5,266,5,0,1,0,accounting,medium,2
HALE,0.44,0.51,2,140,3,0,1,0,hr,medium,2
LYONS,0.39,0.5,2,142,3,0,1,0,hr,medium,2
GRAVES,0.1,0.91,6,246,4,0,1,0,hr,medium,2
HAYNES,0.09,0.89,7,308,5,0,1,0,hr,medium,2
MILES,0.37,0.47,2,141,3,0,1,0,technical,medium,2
PARK,0.9,1,5,232,5,0,1,0,technical,medium,2
WARNER,0.41,0.56,2,143,3,0,1,0,technical,medium,2
PADILLA,0.37,0.52,2,155,3,0,1,0,technical,medium,2
BUSH,0.1,0.86,6,278,4,0,1,0,technical,high,3
THORNTON,0.81,1,4,253,5,0,1,0,technical,low,1
MCCARTHY,0.11,0.8,6,282,4,0,1,0,technical,medium,2
MANN,0.11,0.84,7,264,4,0,1,0,technical,medium,2
ZIMMERMAN,0.4,0.46,2,149,3,0,1,0,technical,medium,2
ERICKSON,0.09,0.8,6,304,5,0,1,0,technical,medium,2
FLETCHER,0.48,0.93,3,219,6,0,1,0,technical,low,1
MCKINNEY,0.91,0.91,4,262,6,0,1,0,support,low,1
PAGE,0.43,0.57,2,135,3,0,1,0,support,low,1
DAWSON,0.33,0.88,6,219,5,0,1,0,support,low,1
JOSEPH,0.41,0.57,2,136,3,0,1,0,support,low,1
MARQUEZ,0.41,0.55,2,154,3,0,1,0,support,low,1
REEVES,0.37,0.54,2,149,3,0,1,0,support,low,1
KLEIN,0.31,0.62,6,135,5,0,1,0,support,low,1
ESPINOZA,0.09,0.91,6,275,4,0,1,0,support,low,1
BALDWIN,0.1,0.87,6,290,4,0,1,0,support,low,1
MORAN,0.76,0.9,4,263,5,0,1,0,support,low,1
LOVE,0.41,0.54,2,145,3,0,1,0,support,low,1
ROBBINS,0.72,0.96,5,267,5,0,1,0,technical,low,1
HIGGINS,0.4,0.5,2,141,3,1,1,0,technical,low,1
BALL,0.91,0.87,4,235,5,0,1,0,technical,low,1
CORTEZ,0.1,0.83,6,258,4,0,1,0,management,low,1
LE,0.4,0.56,2,131,3,0,1,0,IT,low,1
GRIFFITH,0.82,0.86,5,243,5,0,1,0,IT,low,1
BOWEN,0.1,0.82,6,266,4,0,1,0,IT,low,1
SHARP,0.37,0.45,2,142,3,0,1,0,IT,low,1
CUMMINGS,0.36,0.51,2,135,3,0,1,0,IT,low,1
RAMSEY,0.39,0.48,2,141,3,0,1,0,product_mng,medium,2
HARDY,0.36,0.57,2,142,3,0,1,0,product_mng,medium,2
SWANSON,0.86,0.84,5,254,5,0,1,0,product_mng,medium,2
BARBER,0.73,0.99,5,262,5,0,1,0,product_mng,medium,2
ACOSTA,0.56,0.71,4,296,2,0,1,0,IT,medium,2
LUNA,0.44,0.56,2,158,3,0,1,0,accounting,medium,2
CHANDLER,0.31,0.56,4,238,2,0,1,0,accounting,medium,2
DANIEL,0.77,0.93,4,231,5,0,1,0,hr,medium,2
BLAIR,0.44,0.45,2,156,3,0,1,0,hr,medium,2
CROSS,0.38,0.46,2,145,3,0,1,0,hr,medium,2
SIMON,0.45,0.48,2,144,3,0,1,0,marketing,medium,2
DENNIS,0.38,0.51,2,159,3,0,1,0,sales,medium,2
OCONNOR,0.36,0.48,2,156,3,0,1,0,accounting,high,3
QUINN,0.75,0.9,5,256,5,0,1,0,support,low,1
GROSS,0.1,0.93,6,298,4,0,1,0,technical,medium,2
NAVARRO,0.1,0.97,6,247,4,0,1,0,management,medium,2
MOSS,0.45,0.5,2,157,3,0,1,0,marketing,medium,2
FITZGERALD,0.42,0.57,2,154,3,1,1,0,marketing,medium,2
DOYLE,0.78,1,4,253,5,0,1,0,marketing,low,1
MCLAUGHLIN,0.45,0.55,2,148,3,0,1,0,sales,low,1
ROJAS,0.84,1,4,261,5,0,1,0,sales,low,1
RODGERS,0.11,0.93,6,282,4,0,1,0,sales,low,1
STEVENSON,0.42,0.56,2,133,3,0,1,0,sales,low,1
SINGH,0.45,0.46,2,128,3,0,1,0,sales,low,1
YANG,0.46,0.57,2,139,3,0,1,0,sales,low,1
FIGUEROA,0.09,0.79,6,293,5,0,1,0,sales,low,1
HARMON,0.87,0.83,4,265,6,0,1,0,sales,low,1
NEWTON,0.1,0.87,6,250,4,0,1,0,sales,low,1
PAUL,0.91,1,5,251,6,0,1,0,sales,low,1
MANNING,0.76,0.92,4,246,5,0,1,0,sales,low,1
GARNER,0.74,1,5,275,5,0,1,0,sales,low,1
MCGEE,0.92,0.93,5,240,5,0,1,0,sales,low,1
REESE,0.76,0.87,5,245,5,0,1,0,sales,low,1
FRANCIS,0.47,0.5,4,254,4,0,1,0,sales,low,1
BURGESS,0.73,0.99,5,241,5,0,1,0,sales,low,1
ADKINS,0.09,0.94,6,257,4,0,1,0,sales,low,1
GOODMAN,0.91,0.92,4,246,5,0,1,0,sales,low,1
CURRY,0.82,0.98,4,233,5,0,1,0,sales,low,1
BRADY,0.28,0.45,6,218,4,0,1,0,accounting,low,1
CHRISTENSEN,0.84,0.99,4,262,6,0,1,0,accounting,medium,2
POTTER,0.45,0.53,2,138,3,0,1,0,accounting,medium,2
WALTON,0.45,0.54,2,142,3,0,1,0,hr,medium,2
GOODWIN,0.91,0.97,5,233,5,0,1,0,hr,medium,2
MULLINS,0.42,0.48,2,155,3,0,1,0,hr,medium,2
